9.200000e-01 	 2.023546e-23
9.600000e-01 	 2.142963e-23
1.000000e+00 	 2.279509e-23
1.040000e+00 	 2.424281e-23
1.080000e+00 	 2.586462e-23
1.120000e+00 	 2.771552e-23
1.160000e+00 	 2.983277e-23
1.200000e+00 	 3.228071e-23
1.240000e+00 	 3.511752e-23
1.280000e+00 	 3.848052e-23
1.320000e+00 	 4.235778e-23
1.360000e+00 	 4.707392e-23
1.400000e+00 	 5.274482e-23
1.440000e+00 	 5.956428e-23
1.480000e+00 	 6.815450e-23
1.520000e+00 	 7.885449e-23
1.560000e+00 	 9.263834e-23
1.600000e+00 	 1.105265e-22
1.640000e+00 	 1.347068e-22
1.680000e+00 	 1.684650e-22
1.720000e+00 	 2.172480e-22
1.760000e+00 	 2.928246e-22
1.800000e+00 	 4.170814e-22
1.840000e+00 	 6.451216e-22
1.880000e+00 	 1.135435e-21
1.920000e+00 	 2.531149e-21
1.960000e+00 	 1.003583e-20
2.000000e+00 	 6.250000e+01
2.040000e+00 	 9.872491e-21
2.080000e+00 	 2.449320e-21
2.120000e+00 	 1.080743e-21
2.160000e+00 	 6.043765e-22
2.200000e+00 	 3.844691e-22
2.240000e+00 	 2.652949e-22
2.280000e+00 	 1.938264e-22
2.320000e+00 	 1.477749e-22
2.360000e+00 	 1.161735e-22
2.400000e+00 	 9.375058e-23
2.440000e+00 	 7.728423e-23
2.480000e+00 	 6.470596e-23
2.520000e+00 	 5.496445e-23
2.560000e+00 	 4.732349e-23
2.600000e+00 	 4.114017e-23
2.640000e+00 	 3.608368e-23
2.680000e+00 	 3.192467e-23
2.720000e+00 	 2.847591e-23
2.760000e+00 	 2.557077e-23
2.800000e+00 	 2.311335e-23
2.840000e+00 	 2.100614e-23
2.880000e+00 	 1.912147e-23
2.920000e+00 	 1.750191e-23
2.960000e+00 	 1.611112e-23
3.000000e+00 	 1.491181e-23
3.040000e+00 	 1.380848e-23
3.080000e+00 	 1.281428e-23
3.120000e+00 	 1.194879e-23
3.160000e+00 	 1.114827e-23
3.200000e+00 	 1.050769e-23
3.240000e+00 	 9.923401e-24
3.280000e+00 	 9.359782e-24
3.320000e+00 	 8.845471e-24
3.360000e+00 	 8.370273e-24
3.400000e+00 	 7.964462e-24
3.440000e+00 	 7.561928e-24
3.480000e+00 	 7.237544e-24
3.520000e+00 	 6.904338e-24
3.560000e+00 	 6.589083e-24
3.600000e+00 	 6.355166e-24
3.640000e+00 	 6.100921e-24
3.680000e+00 	 5.884594e-24
3.720000e+00 	 5.644411e-24
3.760000e+00 	 5.445788e-24
3.800000e+00 	 5.258990e-24
3.840000e+00 	 5.070315e-24
3.880000e+00 	 5.000087e-24
3.920000e+00 	 4.838515e-24
3.960000e+00 	 4.684253e-24
4.000000e+00 	 4.580014e-24
4.040000e+00 	 4.459922e-24
4.080000e+00 	 4.334897e-24
4.120000e+00 	 4.242051e-24
4.160000e+00 	 4.121018e-24
4.200000e+00 	 4.046104e-24
4.240000e+00 	 3.975237e-24
4.280000e+00 	 3.866272e-24
4.320000e+00 	 3.813860e-24
4.360000e+00 	 3.767266e-24
4.400000e+00 	 3.707158e-24
4.440000e+00 	 3.664940e-24
4.480000e+00 	 3.606943e-24
4.520000e+00 	 3.557472e-24
4.560000e+00 	 3.506952e-24
4.600000e+00 	 3.479614e-24
4.640000e+00 	 3.447324e-24
4.680000e+00 	 3.414937e-24
4.720000e+00 	 3.410557e-24
4.760000e+00 	 3.382251e-24
4.800000e+00 	 3.361411e-24
4.840000e+00 	 3.332118e-24
4.880000e+00 	 3.312996e-24
4.920000e+00 	 3.315580e-24
4.960000e+00 	 3.323491e-24
